ID;Voting;Voted;Year;Jury.or.televoting;Points.given;Jury.points.this.year;Tele.points.this.year;All.points.this.year;All.points.from.voting.to.voted;All.points.from.voting.when.voted.in.final;All.points.to.voted.when.voting.takes.part;Mean.countries.taking.part
1;Albania;Armenia;2017;J;7;58;21;79;11;0;0;0
2;Albania;Armenia;2016;J;0;115;134;249;11;0;0;0
3;Albania;Armenia;2013;J;0;41;0;41;11;0;0;0
4;Albania;Armenia;2016;T;2;115;134;249;11;0;0;0
5;Albania;Armenia;2009;J;0;92;0;92;11;0;0;0
6;Albania;Armenia;2008;J;2;199;0;199;11;0;0;0
7;Albania;Armenia;2017;T;0;58;21;79;11;0;0;0
8;Albania;Armenia;2010;J;0;141;0;141;11;0;0;0
9;Albania;Armenia;2006;J;0;129;0;129;11;0;0;0
10;Albania;Armenia;2007;J;0;138;0;138;11;0;0;0
11;Albania;Armenia;2015;J;0;34;0;34;11;0;0;0
12;Albania;Armenia;2014;J;0;174;0;174;11;0;0;0
13;Albania;Australia;2017;T;0;171;2;173;34;0;0;0
14;Albania;Australia;2017;J;4;171;2;173;34;0;0;0
15;Albania;Australia;2019;J;2;153;131;284;34;0;0;0
16;Albania;Australia;2015;J;3;196;0;196;34;0;0;0
17;Albania;Australia;2018;T;0;90;9;99;34;0;0;0
18;Albania;Australia;2016;T;12;320;191;511;34;0;0;0
19;Albania;Australia;2019;T;1;153;131;284;34;0;0;0
20;Albania;Australia;2016;J;12;320;191;511;34;0;0;0
21;Albania;Australia;2018;J;0;90;9;99;34;0;0;0
22;Albania;Austria;2011;J;0;64;0;64;7;0;0;0
23;Albania;Austria;2014;J;5;290;0;290;7;0;0;0
24;Albania;Austria;2017;J;0;93;0;93;7;0;0;0
25;Albania;Austria;2004;J;0;9;0;9;7;0;0;0
26;Albania;Austria;2016;J;0;31;120;151;7;0;0;0
27;Albania;Austria;2018;J;0;271;71;342;7;0;0;0
28;Albania;Austria;2018;T;2;271;71;342;7;0;0;0
29;Albania;Austria;2017;T;0;93;0;93;7;0;0;0
30;Albania;Austria;2016;T;0;31;120;151;7;0;0;0
31;Albania;Austria;2015;J;0;0;0;0;7;0;0;0
32;Albania;Azerbaijan;2011;J;8;221;0;221;38;0;0;0
33;Albania;Azerbaijan;2012;J;4;150;0;150;38;0;0;0
34;Albania;Azerbaijan;2014;J;0;33;0;33;38;0;0;0
35;Albania;Azerbaijan;2010;J;0;145;0;145;38;0;0;0
36;Albania;Azerbaijan;2016;T;0;44;73;117;38;0;0;0
37;Albania;Azerbaijan;2017;J;2;78;42;120;38;0;0;0
38;Albania;Azerbaijan;2017;T;0;78;42;120;38;0;0;0
39;Albania;Azerbaijan;2019;J;8;202;100;302;38;0;0;0
40;Albania;Azerbaijan;2009;J;4;207;0;207;38;0;0;0
